z,y,x,pose
-0.006737499963492155,0.05073750019073486,0.008387500420212746,twisting
-0.031075000762939453,0.058024998754262924,-0.005087499972432852,twisting
-0.04702499881386757,0.04702499881386757,-0.03203750029206276,twisting
-0.04331250116229057,0.029975000768899918,-0.06503749638795853,twisting
-0.026262499392032623,0.012787500396370888,-0.10037499666213989,twisting
-0.0017874999903142452,-0.005499999970197678,-0.14561249315738678,twisting
0.027499999850988388,-0.006737499963492155,-0.19085000455379486,twisting
0.05073750019073486,0.012787500396370888,-0.2274249941110611,twisting
0.06544999778270721,0.04331250116229057,-0.25437501072883606,twisting
0.06668750196695328,0.08978749811649323,-0.2653749883174896,twisting
0.05926249921321869,0.13626250624656677,-0.25671249628067017,twisting
0.0494999997317791,0.172837495803833,-0.23237499594688416,twisting
0.03478749841451645,0.20336249470710754,-0.20666250586509705,twisting
0.017737500369548798,0.23883749544620514,-0.17861250042915344,twisting
-0.006737499963492155,0.26083749532699585,-0.1480875015258789,twisting
-0.03355000168085098,0.2681249976158142,-0.11137499660253525,twisting
-0.045787498354911804,0.2718375027179718,-0.07108750194311142,twisting
-0.04702499881386757,0.2633124887943268,-0.03203750029206276,twisting
-0.03355000168085098,0.22783750295639038,-0.0013749999925494194,twisting
-0.016499999910593033,0.20954999327659607,0.02419999986886978,twisting
-0.0017874999903142452,0.2120250016450882,0.05115000158548355,twisting
0.009212499484419823,0.22302499413490295,0.0742499977350235,twisting
0.021449999883770943,0.23154999315738678,0.08167500048875809,twisting
0.03368749842047691,0.23759999871253967,0.08167500048875809,twisting
0.03726249933242798,0.2303124964237213,0.08291249722242355,twisting
0.02502499893307686,0.21931250393390656,0.08291249722242355,twisting
0.015262499451637268,0.20212499797344208,0.0681999996304512,twisting
0.021449999883770943,0.19483749568462372,0.04619999974966049,twisting
0.060499999672174454,0.19483749568462372,0.020487500354647636,twisting
0.10573749989271164,0.20212499797344208,0.005912499967962503,twisting
0.1313125044107437,0.21683749556541443,-0.0013749999925494194,twisting
0.13626250624656677,0.22907499969005585,-0.0013749999925494194,twisting
0.13255000114440918,0.24131250381469727,0.011962499469518661,twisting
0.11550000309944153,0.23388749361038208,0.03148749843239784,twisting
0.10326249897480011,0.20954999327659607,0.05472499877214432,twisting
0.09597499668598175,0.1667875051498413,0.06696250289678574,twisting
0.11055000126361847,0.11178749799728394,0.062150001525878906,twisting
0.13750000298023224,0.048262499272823334,0.03891250118613243,twisting
0.15578749775886536,-0.011549999937415123,0.009487500414252281,twisting
0.16802500188350677,-0.0494999997317791,-0.012374999932944775,twisting
0.16802500188350677,-0.07507500052452087,-0.021037500351667404,twisting
0.14973749220371246,-0.1093124970793724,-0.016087500378489494,twisting
0.11426249891519547,-0.1508374959230423,0.002199999988079071,twisting
0.08373750001192093,-0.17902499437332153,0.02914999984204769,twisting
0.07150000333786011,-0.20336249470710754,0.0364375002682209,twisting
0.07878749817609787,-0.2217874974012375,0.02667500078678131,twisting
0.09473749995231628,-0.22783750295639038,0.002199999988079071,twisting
0.11302500218153,-0.2217874974012375,-0.02708750031888485,twisting
0.13626250624656677,-0.2180749922990799,-0.057612501084804535,twisting
0.15207499265670776,-0.2083124965429306,-0.08579999953508377,twisting
0.15331250429153442,-0.19359999895095825,-0.10889999568462372,twisting
0.14231249690055847,-0.16926249861717224,-0.11990000307559967,twisting
0.12031249701976776,-0.13378749787807465,-0.12113749980926514,twisting
0.09226249903440475,-0.09226249903440475,-0.11261250078678131,twisting
0.05926249921321869,-0.06778749823570251,-0.10408750176429749,twisting
0.03478749841451645,-0.06297499686479568,-0.10037499666213989,twisting
0.028737500309944153,-0.06778749823570251,-0.10161250084638596,twisting
0.05926249921321869,-0.0812624990940094,-0.10656250268220901,twisting
0.1069749966263771,-0.0775500014424324,-0.11384999752044678,twisting
0.1447875052690506,-0.05321250110864639,-0.1284250020980835,twisting
0.15826250612735748,-0.026262499392032623,-0.13461250066757202,twisting
0.16307500004768372,0.017737500369548798,-0.1223749965429306,twisting
0.15331250429153442,0.07878749817609787,-0.0906125009059906,twisting
0.12155000120401382,0.13750000298023224,-0.04908749833703041,twisting
0.08002500236034393,0.16431249678134918,-0.016087500378489494,twisting
0.06297499686479568,0.16307500004768372,0.013199999928474426,twisting
0.05321250110864639,0.15702499449253082,0.037675000727176666,twisting
0.04331250116229057,0.14726249873638153,0.05719999969005585,twisting
0.03478749841451645,0.1288374960422516,0.06696250289678574,twisting
0.027499999850988388,0.11550000309944153,0.07315000146627426,twisting
0.03849999979138374,0.09473749995231628,0.07315000146627426,twisting
0.06297499686479568,0.07150000333786011,0.05843750014901161,twisting
0.0873124971985817,0.053075000643730164,0.03272499889135361,twisting
0.10573749989271164,0.04097500070929527,-0.002612499985843897,twisting
0.11426249891519547,0.04097500070929527,-0.02956249937415123,twisting
0.1093124970793724,0.048262499272823334,-0.04413750022649765,twisting
0.08978749811649323,0.058024998754262924,-0.040562499314546585,twisting
0.06778749823570251,0.05073750019073486,-0.028324998915195465,twisting
0.05197500064969063,0.03231250122189522,-0.01979999989271164,twisting
0.04221250116825104,0.009212499484419823,-0.01484999991953373,twisting
0.036024998873472214,-0.0017874999903142452,-0.01732499897480011,twisting
0.03849999979138374,-0.012787500396370888,-0.018562499433755875,twisting
0.05431250110268593,-0.015262499451637268,-0.02213750034570694,twisting
0.0812624990940094,-0.010449999943375587,-0.02213750034570694,twisting
0.08607500046491623,-0.014024999924004078,-0.023375000804662704,twisting
0.0775500014424324,-0.015262499451637268,-0.02213750034570694,twisting
-0.022687500342726707,0.10202500224113464,0.08538749814033508,bend_forward_down
-0.045787498354911804,0.07026249915361404,0.09872499853372574,bend_forward_down
-0.07150000333786011,0.04455000162124634,0.10119999945163727,bend_forward_down
-0.09350000321865082,0.036024998873472214,0.08772499859333038,bend_forward_down
0.06778749823570251,-0.015262499451637268,-0.021037500351667404,bend_forward_down
-0.10573749989271164,0.045787498354911804,0.06091250106692314,bend_forward_down
0.05321250110864639,-0.0030249999836087227,-0.021037500351667404,bend_forward_down
-0.10078749805688858,0.07273750007152557,0.040150001645088196,bend_forward_down
0.03244999796152115,0.006737499963492155,-0.02213750034570694,bend_forward_down
-0.08373750001192093,0.10449999570846558,0.02186249941587448,bend_forward_down
0.016499999910593033,0.011549999937415123,-0.030799999833106995,bend_forward_down
-0.06655000150203705,0.1288374960422516,-0.00013749999925494194,bend_forward_down
0.015262499451637268,0.015262499451637268,-0.038087498396635056,bend_forward_down
-0.05197500064969063,0.15826250612735748,-0.010037500411272049,bend_forward_down
0.021449999883770943,0.012787500396370888,-0.03932499885559082,bend_forward_down
-0.045787498354911804,0.1545500010251999,-0.013612499460577965,bend_forward_down
0.023787500336766243,0.0017874999903142452,-0.035612501204013824,bend_forward_down
-0.04221250116825104,0.14231249690055847,-0.002612499985843897,bend_forward_down
0.022549999877810478,-0.007974999956786633,-0.025849999859929085,bend_forward_down
-0.045787498354911804,0.1313125044107437,0.013199999928474426,bend_forward_down
0.026262499392032623,-0.023787500336766243,-0.012374999932944775,bend_forward_down
-0.05444999784231186,0.11783749610185623,0.022962499409914017,bend_forward_down
0.023787500336766243,-0.03355000168085098,-0.0002749999985098839,bend_forward_down
-0.06421250104904175,0.08373750001192093,0.020624998956918716,bend_forward_down
0.014024999924004078,-0.027499999850988388,0.002199999988079071,bend_forward_down
-0.0775500014424324,0.045787498354911804,0.010862499475479126,bend_forward_down
0.006737499963492155,-0.017737500369548798,0.0009624999947845936,bend_forward_down
-0.0752125009894371,0.04331250116229057,0.004674999974668026,bend_forward_down
0.006737499963492155,-0.017737500369548798,0.0034374999813735485,bend_forward_down
-0.06297499686479568,0.03973750025033951,0.002199999988079071,bend_forward_down
0.0030249999836087227,-0.018975000828504562,0.004674999974668026,bend_forward_down
-0.04592499881982803,0.03726249933242798,0.0010999999940395355,bend_forward_down
-0.0017874999903142452,-0.014024999924004078,0.007149999961256981,bend_forward_down
-0.007974999956786633,0.03355000168085098,-0.00013749999925494194,bend_forward_down
-0.010312499478459358,-0.011549999937415123,0.009624999947845936,bend_forward_down
